"iid","name_"
"IID000000002189525","Whanin Pharm Co Ltd"
"IID000000002126593","Grupo Simec, S.A.B. de C.V."
"IID000000002132509","FONAR CORPORATION"
"IID000000002157825","ARIAD PHARMACEUTICALS, INC."
"IID000000002139098","DELO PRODAJA druzba za razsirjanje in prodajo casopisov, d.d."
"IID000000002140456","Sanoma Oyj"
"IID000000002129119","CARREFOURSA CARREFOUR SABANCI TICARET MERKEZI ANONIM SIRKETI"
"IID000000002124328","HELEN OF TROY LIMITED"
"IID000000002225786","MIC FINANCING TRUST I"
"IID000000002140404","MARUWA CO., LTD."
"IID000000002182431","SAFARICOM PLC"
"IID000000002124907","Alexandria Mineral Oils Co SAE"
"IID000000002149495","LAYNE CHRISTENSEN COMPANY"
"IID000000002158948","Baloise Holding AG"
"IID000000002144850","NMDC Ltd"
"IID000000002224221","DUKE ENERGY KENTUCKY, INC."
"IID000000002185171","Sumitomo Rubber Industries, Ltd."
"IID000000002130138","E.ON AG"
"IID000000002135719","MEGAWORLD CORP."
"IID000000002226952","COMMERZBANK INTERNATIONAL S.A."
"IID000000002164617","FDG Kinetic Limited"
"IID000000002184270","Solid Group Inc"
"IID000000002200805","GS FINANCE CORP."
"IID000000002140922","CLEAR CHANNEL OUTDOOR HOLDINGS, INC."
"IID000000002133086","Texwinca Holdings Limited"
"IID000000002177000","NEKTAR THERAPEUTICS"
"IID000000002154689","Energisa S.A."
"IID000000002185520","SYNAPTICS INCORPORATED"
"IID000000002187582","TUPOLEV PAO"
"IID000000002180968","RAMI LEVI CHAIN STORES HASHIKMA MARKETING 2006 LTD"
"IID000000002153109","ENERGY DEVELOPMENT CORPORATION"
"IID000000002130685","TAISUN ENTERPRISE CO., LTD."
"IID000000002149338","AVIS BUDGET GROUP, INC."
"IID000000002183799","Silverlake Axis Ltd"
"IID000000002136180","Nippon Parking Development Co Ltd"
"IID000000002148670","SIMON PROPERTY GROUP, INC."
"IID000000002143398","Whirlpool EMEA S.p.A.."
"IID000000002163199","CULLEN/FROST BANKERS, INC."
"IID000000002151160","Enel - SpA"
"IID000000002200936","Hankyu Hanshin REIT, Inc."
"IID000000002144871","SOFINA S.A."
"IID000000002124472","Bionomics Ltd"
"IID000000002159269","Basler AG"
"IID000000002148671","INTERNATIONAL FLAVORS & FRAGRANCES INC."
"IID000000002126046","Proteome Sciences PLC"
"IID000000002172107","The Juroku Bank,Ltd."
"IID000000002154521","TATA SPONGE IRON LIMITED"
"IID000000002159694","Albireo Pharma Inc"
"IID000000002168371","GROUPE EUROTUNNEL S.E."
"IID000000002135183","Japan Pulp & Paper Co., Ltd."
"IID000000002167126","FUSION CONNECT, INC."
"IID000000002165618","ESCALADE, INCORPORATED"
"IID000000002151433","ABAXIS, INC."
"IID000000002148684","CHEMTURA CORPORATION"
"IID000000002201663","MARKWEST ENERGY PARTNERS, L.P."
"IID000000002132237","Mitsubishi Electric Corporation"
"IID000000002128231","BOLLORE AFRICA LOGISTICS COTE D'IVOIRE S.A."
"IID000000002160080","SOCIETE DES BOISSONS DU MAROC S.A."
"IID000000002168898","Hundsun Technologies Inc."
"IID000000002141547","OKUMA Corporation"
"IID000000002171517","ITURAN LOCATION AND CONTROL LTD."
"IID000000002172303","KONICA MINOLTA, INC."
"IID000000002166654","Colliers International Group Inc."
"IID000000002180227","PROMETIC SCIENCES DE LA VIE INC."
"IID000000002151106","Emmi AG"
"IID000000002154982","Rias A/S"
"IID000000002134423","PT Modern Internasional Tbk"
"IID000000002226018","HISTORIC TW INC."
"IID000000002155450","ABS-CBN CORPORATION"
"IID000000002169403","The Hiroshima Bank, Ltd."
"IID000000002177395","Nippon Electric Glass Co., Ltd."
"IID000000002166759","Fomento Economico Mexicano, S.A.B. de C.V."
"IID000000002140042","HANKUK CARBON CO.,LTD"
"IID000000002140286","Aareal Bank AG"
"IID000000002124628","AUXILIUM PHARMACEUTICALS, INC."
"IID000000002156911","ALNYLAM PHARMACEUTICALS, INC."
"IID000000002227061","VOLKSWAGEN FINANCIAL SERVICES AKTIENGESELLSCHAFT"
"IID000000002140812","Yomeishu Seizo Co Ltd"
"IID000000002180329","Promopharm SA"
"IID000000002188150","UT Group Co., Ltd."
"IID000000002170614","IDFC LIMITED"
"IID000000002166824","FormPipe Software AB"
"IID000000002165528","IMMUNE PHARMACEUTICALS INC."
"IID000000002167160","G.taste Co.,Ltd."
"IID000000002156734","Alfresa Holdings Corporation"
"IID000000002158964","BANCFIRST CORPORATION"
"IID000000002142645","EXMAR N.V."
"IID000000002129700","Kingpak Technology Inc."
"IID000000002126076","EKOVEST BERHAD"
"IID000000002143096","UNITED INSURANCE HOLDINGS CORP."
"IID000000002134408","Nobia AB"
"IID000000002183936","SIOEN INDUSTRIES N.V."
"IID000000002172592","Kenmare Resources plc"
"IID000000002150799","SUNDAY CO.,LTD."
"IID000000002160028","BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD."
"IID000000002226067","AFC CAPITAL TRUST I"
"IID000000002223405","QUESTAR GAS COMPANY"
"IID000000002224780","BRANCH BANKING AND TRUST COMPANY"
"IID000000002227526","SOCIETE DE FINANCEMENT GE CAPITAL DU CANADA"
"IID000000002179268","PENNON GROUP PLC"
"IID000000002145206","SANDISK LLC"
"IID000000002188002","Union National Bank Public Joint Stock Company"
"IID000000002128450","PREMIER FINANCIAL BANCORP, INC."
"IID000000002182315","STELLA CHEMIFA CORPORATION"
"IID000000002190606","COMSCORE, INC."
"IID000000002129474","Vimta Labs Ltd"
"IID000000002223415","VERIZON NEW JERSEY INC."
"IID000000002179055","Pargesa Holding SA"
"IID000000002123841","GUARANTY BANCORP"
"IID000000002190382","ZENITH BANK PLC"
"IID000000002174408","NIPPON COKE & ENGINEERING COMPANY,LIMITED"
"IID000000002166760","FOMENTO RESORTS AND HOTELS LIMITED"
"IID000000002153590","SONIC LLC"
"IID000000002156865","AMA Group Ltd"
"IID000000002183294","Shandong Gold Mining Co., Ltd."
"IID000000002149549","AMERICAN NATIONAL INSURANCE COMPANY"
"IID000000002227394","MITSUBISHI CORPORATION FINANCE PLC"
"IID000000002176454","NGK SPARK PLUG CO., LTD."
"IID000000002132189","KONGSBERG GRUPPEN ASA"
"IID000000002164150","Sinomach Automobile Co., Ltd."
"IID000000002136909","WEYCO GROUP, INC."
"IID000000002178543","PAL Group Holdings Co Ltd"
"IID000000002135008","Hornbach-Baumarkt-Aktiengesellschaft"
"IID000000002182688","Santander Chile Holding S.A."
"IID000000002176246","PT Multipolar Tbk"
"IID000000002128168","Posco Coated & Color Steel Co Ltd"
"IID000000002173510","LANNETT COMPANY, INC."
"IID000000002223414","VERIZON NEW ENGLAND INC."
"IID000000002181907","Societe Anonyme Belge de Constructions Aeronautiques SA"
"IID000000002190481","African Sun Limited"
"IID000000002150998","HECLA MINING COMPANY"
"IID000000002174281","Maxvalu Hokkaido Co Ltd"
"IID000000002154089","VALLOUREC S.A."
"IID000000002190670","Myriad Group AG"
"IID000000002148511","LOTTE Fine Chemical Co., Ltd."
"IID000000002201700","MELCO RESORTS & ENTERTAINMENT LIMITED"
"IID000000002167554","GENERAL COMMUNICATION, INC."
"IID000000002202526","REPSOL INTERNATIONAL CAPITAL LTD."
"IID000000002189188","HANDY & HARMAN LTD."
"IID000000002223931","FIRST REPUBLIC BANK"
"IID000000002226545","MITSUBISHI PLASTICS,INC."
"IID000000002178932","PANACEA BIOTEC LIMITED"
"IID000000002226953","ASR Bank N.V."
"IID000000002123718","FACTSET RESEARCH SYSTEMS INC."
"IID000000002145768","WMI HOLDINGS CORP."
"IID000000002172273","KLA-TENCOR CORPORATION"
"IID000000002124165","LENDLEASE GROUP"
"IID000000002166611","Imperial Pacific International Holdings Limited"
"IID000000002151825","TOMY COMPANY, LTD."
"IID000000002176806","FIRST ABU DHABI BANK P.J.S.C"
"IID000000002124704","Evolva Holding SA"
"IID000000002188446","VTECH HOLDINGS LIMITED"
"IID000000002179643","Pioneer Distilleries Ltd"
"IID000000002165205","EMAAR PROPERTIES (P.J.S.C)"
"IID000000002128855","Schweizerische Rueckversicherungs-Gesellschaft AG"
"IID000000002127685","MULTI SOFT II, INC."
"IID000000002124347","GULFPORT ENERGY CORPORATION"
"IID000000002181526","China Smarter Energy Group Holdings Limited"
"IID000000002158715","BHCo.,Ltd."
"IID000000002163282","CytoTools AG"
"IID000000002143977","UNITED STATES STEEL CORPORATION"
"IID000000002162960","CORPORATE ASSET BACKED CORPORATION"
"IID000000002160077","Oi S.A. - Em Recuperacao Judicial"
"IID000000002149548","AMSURG CORP."
"IID000000002125041","Gemdale Corporation"
"IID000000002212033","ABSA BANK LIMITED"
"IID000000002131030","ZAGG INC"
"IID000000002175056","CHINA GRAND PHARMACEUTICAL AND HEALTHCARE HOLDINGS LIMITED"
"IID000000002199290","Airmedia Group Inc"
"IID000000002130244","BIG Camera Corporation Public Company Limited"
"IID000000002172983","KOREA ELECTRIC POWER CORPORATION"
"IID000000002161519","Champion Breweries PLC"
"IID000000002139979","National Bank of Kuwait S.A.K.P"
"IID000000002153382","Hotelest Ltd"
"IID000000002170853","INTERNAP CORPORATION"
"IID000000002165295","Enel Generacion Chile S.A."
"IID000000002196974","cocokara fine Inc."
"IID000000002127826","NIPPO CORPORATION"
"IID000000002151455","DYNASIL CORPORATION OF AMERICA"
"IID000000002166006","FEI COMPANY"
"IID000000002126935","IREN S.P.A."
"IID000000002182363","Lec Inc"
"IID000000002141251","Baltiyskiy Zavod AO"
"IID000000002156172","RELIANCE MEDIAWORKS LIMITED"
"IID000000002141619","Grontmij N.V."
